last_name1,Player_of_Match,M_O_M_Count,Player_name1,first_name1
Mavi,Shivam Mavi,2,Shivam_Mavi,Shivam
Akhtar,Shoaib Akhtar,1,Shoaib_Akhtar,Shoaib
Gill,Shubman Gill,3,Shubman_Gill,Shubman
Tanvir,Sohail Tanvir,2,Sohail_Tanvir,Sohail
Boult,TA Boult,4,TA_Boult,TA
Southee,TG Southee,1,TG_Southee,TG
Suman,TL Suman,1,TL_Suman,TL
Dilshan,TM Dilshan,1,TM_Dilshan,TM
Yadav,UT Yadav,8,UT_Yadav,UT
Gul,Umar Gul,1,Umar_Gul,Umar
Kohli,V Kohli,13,V_Kohli,V
Sehwag,V Sehwag,11,V_Sehwag,V
Aaron,VR Aaron,2,VR_Aaron,VR
Iyer,VR Iyer,1,VR_Iyer,VR
Saha,WP Saha,4,WP_Saha,WP
Vaas,WPUJC Vaas,1,WPUJC_Vaas,WPUJC
Sundar,Washington Sundar,1,Washington_Sundar,Washington
Pathan,YK Pathan,16,YK_Pathan,YK
Chahal,YS Chahal,4,YS_Chahal,YS
Singh,Yuvraj Singh,5,Yuvraj_Singh,Yuvraj
Khan,Z Khan,1,Z_Khan,Z
